city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Chandigarh,2010-03-24,Kings XI Punjab,134.0,AC Voges,1,2010,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Rajasthan Royals
Mumbai,2010-03-25,Mumbai Indians,135.0,SR Tendulkar,1,2010,field,Mumbai Indians,Brabourne Stadium,Chennai Super Kings,Mumbai Indians
Bangalore,2010-03-25,Royal Challengers Bangalore,136.0,KM Jadhav,1,2010,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,Delhi Daredevils
Ahmedabad,2010-03-26,Rajasthan Royals,137.0,YK Pathan,1,2010,bat,Deccan Chargers,"Sardar Patel Stadium, Motera",Deccan Chargers,Rajasthan Royals
Chandigarh,2010-03-27,Kings XI Punjab,138.0,MK Tiwary,1,2010,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kolkata Knight Riders
Ahmedabad,2010-03-28,Rajasthan Royals,139.0,NV Ojha,1,2010,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,Rajasthan Royals
Mumbai,2010-03-28,Deccan Chargers,140.0,Harbhajan Singh,1,2010,field,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians
Delhi,2010-03-29,Delhi Daredevils,141.0,DA Warner,1,2010,bat,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Daredevils
Mumbai,2010-03-30,Mumbai Indians,142.0,SL Malinga,1,2010,field,Mumbai Indians,Brabourne Stadium,Kings XI Punjab,Mumbai Indians
Chennai,2010-03-31,Chennai Super Kings,143.0,M Vijay,1,2010,bat,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Delhi,2010-03-31,Delhi Daredevils,144.0,KD Karthik,1,2010,bat,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
Kolkata,2010-04-01,Kolkata Knight Riders,145.0,SC Ganguly,1,2010,bat,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,Kolkata Knight Riders
Chandigarh,2010-04-02,Kings XI Punjab,146.0,KP Pietersen,1,2010,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai,2010-04-03,Mumbai Indians,147.0,AT Rayudu,1,2010,bat,Mumbai Indians,Brabourne Stadium,Deccan Chargers,Mumbai Indians
Chennai,2010-04-03,Chennai Super Kings,148.0,M Vijay,1,2010,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Kolkata,2010-04-04,Kolkata Knight Riders,149.0,DPMD Jayawardene,1,2010,bat,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kings XI Punjab
Delhi,2010-04-04,Delhi Daredevils,150.0,PD Collingwood,1,2010,bat,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
Nagpur,2010-04-05,Deccan Chargers,151.0,SK Warne,1,2010,bat,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,Rajasthan Royals
Chennai,2010-04-06,Chennai Super Kings,152.0,SK Raina,1,2010,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings
Jaipur,2010-04-07,Rajasthan Royals,153.0,MJ Lumb,1,2010,bat,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
Kolkata,2010-04-07,Kolkata Knight Riders,154.0,SC Ganguly,1,2010,bat,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
Bangalore,2010-04-08,Royal Challengers Bangalore,155.0,TL Suman,1,2010,field,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,Deccan Chargers
Chandigarh,2010-04-09,Kings XI Punjab,156.0,KC Sangakkara,1,2010,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab
Bangalore,2010-04-10,Royal Challengers Bangalore,157.0,R Vinay Kumar,1,2010,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
Nagpur,2010-04-10,Deccan Chargers,158.0,RJ Harris,1,2010,bat,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,Deccan Chargers
Jaipur,2010-04-11,Rajasthan Royals,159.0,SR Tendulkar,1,2010,field,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Mumbai Indians
Delhi,2010-04-11,Delhi Daredevils,160.0,PP Chawla,1,2010,bat,Delhi Daredevils,Feroz Shah Kotla,Kings XI Punjab,Kings XI Punjab
Nagpur,2010-04-12,Deccan Chargers,161.0,Harmeet Singh,1,2010,field,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,Deccan Chargers
Chennai,2010-04-13,Chennai Super Kings,162.0,R Ashwin,1,2010,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
Mumbai,2010-04-13,Mumbai Indians,163.0,KA Pollard,1,2010,bat,Mumbai Indians,Brabourne Stadium,Delhi Daredevils,Mumbai Indians
Jaipur,2010-04-14,Rajasthan Royals,164.0,KP Pietersen,1,2010,bat,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai,2010-04-15,Chennai Super Kings,165.0,G Gambhir,1,2010,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Delhi Daredevils
Dharamsala,2010-04-16,Kings XI Punjab,166.0,RG Sharma,1,2010,field,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Deccan Chargers
Kolkata,2010-04-17,Kolkata Knight Riders,167.0,JD Unadkat,1,2010,bat,Rajasthan Royals,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
Bangalore,2010-04-17,Royal Challengers Bangalore,168.0,R McLaren,1,2010,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Dharamsala,2010-04-18,Kings XI Punjab,169.0,MS Dhoni,1,2010,field,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Chennai Super Kings
Delhi,2010-04-18,Delhi Daredevils,170.0,A Symonds,1,2010,bat,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,Deccan Chargers
Kolkata,2010-04-19,Kolkata Knight Riders,171.0,M Kartik,1,2010,bat,Mumbai Indians,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
Mumbai,2010-04-21,Royal Challengers Bangalore,172.0,KA Pollard,1,2010,bat,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,Mumbai Indians
Mumbai,2010-04-22,Chennai Super Kings,173.0,DE Bollinger,1,2010,bat,Chennai Super Kings,Dr DY Patil Sports Academy,Deccan Chargers,Chennai Super Kings
Mumbai,2010-04-24,Royal Challengers Bangalore,174.0,A Kumble,1,2010,bat,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,Royal Challengers Bangalore
