match_id,date,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,dl_applied,winner,player_of_match
605,2017-04-24,Mumbai,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium,1,0,Rising Pune Supergiant,BA Stokes
606,2017-04-26,Pune,2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,1,0,Kolkata Knight Riders,RV Uthappa
607,2017-04-27,Bangalore,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,M Chinnaswamy Stadium,1,0,Gujarat Lions,AJ Tye
608,2017-04-28,Kolkata,2017,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Eden Gardens,1,0,Kolkata Knight Riders,G Gambhir
609,2017-04-28,Chandigarh,2017,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Sunrisers Hyderabad,Rashid Khan
610,2017-04-29,Pune,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Maharashtra Cricket Association Stadium,1,0,Rising Pune Supergiant,LH Ferguson
611,2017-04-29,Rajkot,2017,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Saurashtra Cricket Association Stadium,2,0,Mumbai Indians,KH Pandya
612,2017-04-30,Chandigarh,2017,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Kings XI Punjab,Sandeep Sharma
613,2017-04-30,Hyderabad,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,DA Warner
614,2017-05-01,Mumbai,2017,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Wankhede Stadium,1,0,Mumbai Indians,RG Sharma
615,2017-05-01,Pune,2017,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,1,0,Rising Pune Supergiant,BA Stokes
616,2017-05-02,Delhi,2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,Feroz Shah Kotla,1,0,Delhi Daredevils,Mohammed Shami
617,2017-05-03,Kolkata,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Eden Gardens,1,0,Rising Pune Supergiant,RA Tripathi
618,2017-05-04,Delhi,2017,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,Feroz Shah Kotla,1,0,Delhi Daredevils,RR Pant
619,2017-05-05,Bangalore,2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,0,Kings XI Punjab,Sandeep Sharma
620,2017-05-06,Hyderabad,2017,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Rising Pune Supergiant,JD Unadkat
621,2017-05-06,Delhi,2017,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,1,0,Mumbai Indians,LMP Simmons
622,2017-05-07,Bangalore,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,1,0,Kolkata Knight Riders,SP Narine
623,2017-05-07,Chandigarh,2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Gujarat Lions,DR Smith
624,2017-05-08,Hyderabad,2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",1,0,Sunrisers Hyderabad,S Dhawan
625,2017-05-09,Chandigarh,2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,Kings XI Punjab,MM Sharma
626,2017-05-10,Kanpur,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Green Park,1,0,Delhi Daredevils,SS Iyer
627,2017-05-11,Mumbai,2017,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,1,0,Kings XI Punjab,WP Saha
628,2017-05-12,Delhi,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Feroz Shah Kotla,1,0,Delhi Daredevils,KK Nair
629,2017-05-13,Kanpur,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Green Park,1,0,Sunrisers Hyderabad,Mohammed Siraj
630,2017-05-13,Kolkata,2017,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Eden Gardens,1,0,Mumbai Indians,AT Rayudu
631,2017-05-14,Pune,2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,1,0,Rising Pune Supergiant,JD Unadkat
632,2017-05-14,Delhi,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Feroz Shah Kotla,1,0,Royal Challengers Bangalore,HV Patel
633,2017-05-16,Mumbai,2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Wankhede Stadium,1,0,Rising Pune Supergiant,Washington Sundar
634,2017-05-17,Bangalore,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,1,1,Kolkata Knight Riders,NM Coulter-Nile
635,2017-05-19,Bangalore,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,M Chinnaswamy Stadium,1,0,Mumbai Indians,KV Sharma
