player_code,player_id,full_name,country,role,batting_style,bowling_style,born
KC Sangakkara,50710,,Sri Lanka,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,"
October 27, 1977, Matale "
PM Sarvesh Kumar,327127,,India,,Right-hand bat,Right-arm medium,"
April 26, 1989, Hyderabad, Andhra Pradesh "
Shahid Afridi,42639,,Pakistan,Allrounder,Right-hand bat,Legbreak googly,"
March 1, 1980, Khyber Agency "
I Sharma,236779,,India,Bowler,Right-hand bat,Right-arm fast-medium,"
September 2, 1988, Delhi "
R Sharma,272994,,India,Bowler,Right-hand bat,Legbreak googly,"
November 30, 1986, Jalandhar "
RG Sharma,34102,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
April 30, 1987, Bansod, Nagpur, Maharashtra "
Shoaib Ahmed,317709,,India,,Right-hand bat,Right-arm fast-medium,"
November 19, 1987, Hyderabad, Andhra Pradesh "
LPC Silva,50431,,Sri Lanka,Batsman,Right-hand bat,Legbreak,"
December 14, 1979, Panadura "
RP Singh,35280,,India,Bowler,Right-hand bat,Left-arm fast-medium,"
December 6, 1985, Rae Bareli, Uttar Pradesh "
S Sohal,228943,,United States of America,Batsman,Right-hand bat,Legbreak,"
November 10, 1987, Mohali, Punjab, India "
DW Steyn,47492,,South Africa,Bowler,Right-hand bat,Right-arm fast,"
June 27, 1983, Phalaborwa "
TP Sudhindra,34139,,India,,Left-hand bat,Right-arm fast,"
April 24, 1984, Hindupur, Andhra Pradesh "
TL Suman,34281,,India,Batsman,Right-hand bat,Right-arm offbreak,"
December 15, 1983, Hyderabad, Andhra Pradesh "
B Sumanth,253798,,India,Middle-order batsman,Right-hand bat,Right-arm medium-fast,"
May 10, 1988, Visakhapatnam, Andhra Pradesh "
A Symonds,7702,,Australia,Allrounder,Right-hand bat,"Right-arm medium, Right-arm offbreak","
June 9, 1975, Birmingham, Warwickshire, England "
J Theron,223642,,United States of America,Bowler,Right-hand bat,Right-arm medium-fast,"
July 24, 1985, Potchefstroom "
WPUJC Vaas,50804,,Sri Lanka,Bowler,Left-hand bat,Left-arm fast-medium,"
January 27, 1974, Mattumagala "
Y Venugopal Rao,35805,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
February 26, 1982, Visakhapatnam, Andhra Pradesh "
DP Vijaykumar,272949,,India,,Right-hand bat,Right-arm medium,"
October 20, 1986, Paidikalva, Andhra Pradesh "
CL White,8291,,Australia,Middle-order batsman,Right-hand bat,Legbreak googly,"
August 18, 1983, Bairnsdale, Victoria "
AS Yadav,36110,,India,Batsman,Right-hand bat,Right-arm offbreak,"
December 23, 1981, Palghat (now Palakkad), Kerala "
DNT Zoysa,51050,,Sri Lanka,,Left-hand bat,Left-arm fast-medium,"
May 13, 1978, Colombo "
S Ladda,317292,,India,Bowler,Right-hand bat,Legbreak,"
July 10, 1986, Patiala "
AR Bawne,327123,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
December 17, 1992, Paitha, Aurangabad "
VR Aaron,360911,,India,Bowler,Right-hand bat,Right-arm fast,"
October 29, 1989, Singhbhum, Bihar (now Jharkhand) "
Abhishek Sharma,1070183,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
September 4, 2000, Amritsar, Punjab "
AB Agarkar,26184,,India,Bowler,Right-hand bat,Right-arm fast,"
December 4, 1977, Bombay (now Mumbai), Maharashtra "
MA Agarwal,398438,,India,Batsman,Right-hand bat,,"
February 16, 1991, Bangalore, Karnataka "
CJ Anderson,277662,,New Zealand,Batting allrounder,Left-hand bat,Left-arm medium-fast,"
December 13, 1990, Christchurch, Canterbury "
Avesh Khan,694211,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
December 13, 1996, Indore, Madhya Pradesh "
R Bhatia,26907,,India,Allrounder,Right-hand bat,Right-arm medium-fast,"
October 22, 1979, Delhi "
TR Birt,4292,,Australia,Middle-order batsman,Left-hand bat,Right-arm medium,"
December 9, 1981, Sale, Victoria "
J Botha,44149,,South Africa,Allrounder,Right-hand bat,Right-arm offbreak,"
May 2, 1982, Johannesburg, Transvaal "
TA Boult,277912,,New Zealand,Bowler,Right-hand bat,Left-arm fast-medium,"
July 22, 1989, Rotorua "
DAJ Bracewell,362541,,New Zealand,Bowler,Right-hand bat,Right-arm fast-medium,"
September 28, 1990, Tauranga, Bay of Plenty "
CR Brathwaite,457249,,West Indies,Allrounder,Right-hand bat,Right-arm fast-medium,"
July 18, 1988, Barbados "
UBT Chand,446499,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
March 26, 1993, Delhi "
PD Collingwood,10772,,England,Allrounder,Right-hand bat,Right-arm medium,"
May 26, 1976, Shotley Bridge, Co Durham "
NM Coulter-Nile,261354,,Australia,Bowler,Right-hand bat,Right-arm fast,"
October 11, 1987, Osborne Park, Western Australia "
PJ Cummins,489889,,Australia,Bowler,Right-hand bat,Right-arm fast,"
May 8, 1993, Westmead, Sydney "
CJ Dala,545467,,South Africa,Bowler,Right-hand bat,Right-arm medium,"
December 29, 1989, Lusaka, Zambia "
Q de Kock,379143,,South Africa,Wicketkeeper batsman,Left-hand bat,,"
December 17, 1992, Johannesburg, Gauteng "
AB de Villiers,44936,,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
February 17, 1984, Pretoria "
TM Dilshan,48472,,Sri Lanka,Allrounder,Right-hand bat,Right-arm offbreak,"
October 14, 1976, Kalutara "
AB Dinda,227712,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
March 25, 1984, Medinipur, Calcutta (now Kolkata) "
AJ Finch,5334,,Australia,Top-order batsman,Right-hand bat,Slow left-arm orthodox,"
November 17, 1986, Colac, Victoria "
G Gambhir,28763,,India,Top-order batsman,Left-hand bat,Legbreak,"
October 14, 1981, Delhi "
CM Gautam,302208,,India,Wicketkeeper,Right-hand bat,,"
March 8, 1986, Bangalore, Karnataka "
B Geeves,5472,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
June 13, 1982, Claremont, Tasmania "
Sunny Gupta,271315,,India,,Right-hand bat,Right-arm offbreak,"
September 27, 1988, Jamshedpur, Bihar "
MC Henriques,5961,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
February 1, 1987, Funchal, Portugal "
SO Hetmyer,670025,,West Indies,Top-order batsman,Left-hand bat,,"
December 26, 1996, Cumberland, Berbice, Guyana "
JR Hopes,5702,,Australia,Allrounder,Right-hand bat,Right-arm medium,"
October 24, 1978, Townsville, Queensland "
CA Ingram,45705,,South Africa,Top-order batsman,Left-hand bat,Legbreak,"
July 3, 1985, Port Elizabeth "
SS Iyer,642519,,India,Top-order batsman,Right-hand bat,Legbreak googly,"
December 6, 1994, Mumbai "
DPMD Jayawardene,49289,,Sri Lanka,Batsman,Right-hand bat,Right-arm medium,"
May 27, 1977, Colombo "
MC Juneja,390480,,India,,Right-hand bat,Right-arm offbreak,"
September 12, 1990, Ahmedabad, Gujarat "
KD Karthik,30045,,India,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,"
June 1, 1985, Madras (now Chennai), Tamil Nadu "
S Kaul,326017,,India,Bowler,Right-hand bat,Right-arm medium,"
May 19, 1990, Pathankot, Punjab "
Z Khan,30102,,India,Bowler,Right-hand bat,Left-arm fast-medium,"
October 7, 1978, Shrirampur, Maharashtra "
S Lamichhane,960361,,Nepal,Bowler,Right-hand bat,Legbreak googly,"
August 2, 2000, Syangja "
AB McDonald,6553,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
June 5, 1981, Wodonga, Victoria "
GD McGrath,6565,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
February 9, 1970, Dubbo, New South Wales "
MF Maharoof,49638,,Sri Lanka,Allrounder,Right-hand bat,Right-arm fast-medium,"
September 7, 1984, Colombo "
AD Mathews,49764,,Sri Lanka,Allrounder,Right-hand bat,Right-arm medium,"
June 2, 1987, Colombo "
GJ Maxwell,325026,,Australia,Batting allrounder,Right-hand bat,Right-arm offbreak,"
October 14, 1988, Kew, Melbourne, Victoria "
BMAJ Mendis,49700,,Sri Lanka,Allrounder,Left-hand bat,Legbreak,"
January 15, 1983, Colombo "
Mohammad Asif,41411,,Pakistan,Bowler,Left-hand bat,Right-arm fast-medium,"
December 20, 1982, Sheikhupura, Punjab "
Mohammed Shami,481896,,India,Bowler,Right-hand bat,Right-arm fast,"
September 3, 1990, Amroha, Uttar Pradesh "
M Morkel,46538,,South Africa,Bowler,Left-hand bat,Right-arm fast,"
October 6, 1984, Vereeniging, Transvaal "
C Munro,232359,,New Zealand,Opening batsman,Left-hand bat,Right-arm medium-fast,"
March 11, 1987, Durban "
DJ Muthuswami,528985,,India,,Right-hand bat,Right-arm medium,"
March 9, 1981, Pune, Maharashtra "
S Nadeem,31872,,India,Bowler,Right-hand bat,Slow left-arm orthodox,"
August 12, 1989, Bokaro, Bihar "
Y Nagar,317786,,India,Allrounder,Right-hand bat,Right-arm offbreak,"
January 6, 1990, Wazirabad, Delhi "
KK Nair,398439,,India,Top-order batsman,Right-hand bat,Right-arm offbreak,"
December 6, 1991, Jodhpur, Rajasthan "
JDS Neesham,355269,,New Zealand,Batting allrounder,Left-hand bat,Right-arm medium-fast,"
September 17, 1990, Auckland "
A Nortje,481979,,South Africa,Bowler,Right-hand bat,Right-arm fast,"
November 16, 1993 "
NV Ojha,32102,,India,Wicketkeeper batsman,Right-hand bat,,"
July 20, 1983, Ujjain, Madhya Pradesh "
RR Pant,931581,,India,Wicketkeeper batsman,Left-hand bat,,"
October 4, 1997, Haridwar, Uttarakhand "
WD Parnell,265564,,South Africa,Bowler,Left-hand bat,Left-arm medium-fast,"
July 30, 1989, Port Elizabeth, Cape Province "
AR Patel,554691,,India,Bowling allrounder,Left-hand bat,Slow left-arm orthodox,"
January 20, 1994, Anand, Gujarat "
HV Patel,390481,,India,Bowler,Right-hand bat,Right-arm medium,"
November 23, 1990, Sanand, Gujarat "
IK Pathan,32685,,India,Allrounder,Left-hand bat,Left-arm medium-fast,"
October 27, 1984, Baroda, Gujarat "
KMA Paul,677081,,West Indies,Allrounder,Right-hand bat,Right-arm fast-medium,"
February 21, 1998, Guyana "
KP Pietersen,19296,,England,Top-order batsman,Right-hand bat,Right-arm offbreak,"
June 27, 1980, Pietermaritzburg, Natal "
LE Plunkett,19264,,England,Bowler,Right-hand bat,Right-arm fast,"
April 6, 1985, Middlesbrough, Yorkshire "
